Date,ADBL,CZBIL,EBL,GBIME,HBL,KBL,MBL,NABIL,NBL,NICA,NIMB,NMB,PCBL,PRVU,SANIMA,SBL,SCB
2025-07-27,332.03,230.68,744.89,263.14,238.95,222.25,260.59,547.84,301.81,400.35,235.09,272.51,278.16,230.81,381.53,387.32,666.72
2025-07-28,328.3,228.87,734.23,263.49,235.43,220.91,260.11,539.63,297.96,393.42,233.67,271.06,274.37,230.37,376.59,385.18,658.69
2025-07-29,335.35,235.44,736.48,270.86,241.78,226.87,265.35,548.55,300.97,400.89,242.64,272.5,278.71,245.34,389.28,392.25,665.98
2025-07-30,332.08,232.31,722.16,266.87,238.13,223.24,260.17,545.18,297.35,390.2,236.58,268.3,272.96,241.83,383.86,384.42,660.12
2025-07-31,332.18,228.0,717.09,261.61,233.36,220.44,255.87,536.48,293.73,386.43,232.44,264.88,269.47,237.89,375.2,379.74,650.71
2025-08-03,326.37,222.09,711.01,254.47,227.16,217.35,246.86,524.4,285.69,381.91,226.06,257.61,261.43,230.8,367.67,366.99,637.64
2025-08-04,327.91,225.14,716.91,259.37,232.99,220.45,257.26,527.97,290.45,395.76,229.8,263.19,262.13,234.65,368.62,373.92,657.74
2025-08-05,325.0,222.1,710.0,255.0,229.0,215.9,259.8,527.9,287.6,386.2,226.9,262.0,260.0,231.5,366.5,372.0,645.0
2025-08-06,327.8,220.66,705.66,254.26,228.92,215.01,258.1,525.93,286.4,385.51,225.57,261.71,255.79,229.93,364.84,368.4,643.09
2025-08-07,326.85,224.8,707.57,255.42,228.44,216.09,257.62,527.36,291.08,384.68,225.35,263.24,258.37,231.4,369.57,371.58,643.93
2025-08-12,330.97,215.33,709.49,254.28,221.07,208.3,253.21,524.86,283.06,376.92,220.74,259.27,253.68,218.72,369.16,376.35,639.98
2025-08-13,330.48,212.95,715.14,251.53,217.55,205.94,250.95,523.63,282.92,370.48,218.41,254.15,252.0,217.88,368.57,374.89,639.32
2025-08-14,332.45,211.37,715.69,250.95,216.11,204.94,251.77,523.82,266.21,365.66,216.15,252.33,250.74,218.42,367.83,369.19,637.46
2025-08-17,334.66,209.91,719.87,249.41,213.44,201.43,248.87,521.21,256.1,348.64,211.63,246.41,254.64,214.08,366.09,364.11,628.26
2025-08-18,337.68,210.36,725.71,250.66,213.81,201.65,250.67,518.95,255.17,348.23,212.78,246.36,255.6,214.99,365.9,364.64,624.57
2025-08-19,335.67,210.43,734.54,252.04,216.12,203.37,248.07,518.81,257.68,350.65,213.3,248.05,255.31,215.76,368.62,367.01,629.28
2025-08-20,332.5,208.69,739.14,250.66,214.23,202.14,249.75,518.81,256.2,351.12,212.62,251.52,254.91,214.2,367.12,363.4,627.42
2025-08-21,329.26,208.23,747.77,252.01,213.02,201.85,247.29,518.14,255.6,348.38,212.08,249.51,254.71,212.86,367.43,364.44,626.12
2025-08-24,326.2,207.11,732.96,250.2,210.03,200.69,245.99,513.56,254.41,343.56,209.05,249.27,256.29,209.37,365.39,361.87,625.35
2025-08-25,326.49,209.55,742.98,251.52,210.16,201.39,247.02,522.58,253.97,344.34,210.2,249.79,257.76,210.71,364.75,361.19,622.83
2025-08-26,326.28,207.14,748.45,250.64,208.48,201.07,246.64,529.35,251.55,344.53,209.31,249.92,256.23,210.68,368.17,362.1,626.45
2025-08-27,331.31,211.08,751.56,255.29,211.27,203.93,252.18,533.87,255.1,351.44,213.18,253.27,260.54,213.77,371.23,371.47,631.31
2025-08-28,327.55,209.24,747.67,251.62,209.59,200.22,250.5,528.86,253.1,351.32,209.83,250.61,255.1,212.33,369.2,376.27,630.26
2025-08-31,323.22,206.15,751.71,249.06,205.24,196.83,248.64,520.84,250.33,346.46,207.35,249.32,251.38,209.7,366.06,376.42,634.1
2025-09-01,327.47,208.78,765.33,251.35,206.09,201.52,250.73,527.66,251.65,350.02,209.77,253.45,254.04,212.48,372.3,388.77,659.97
2025-09-02,325.5,207.14,761.41,251.15,202.43,197.79,251.01,523.75,250.64,345.15,208.78,253.8,254.03,209.33,373.72,389.22,661.75
2025-09-03,324.08,206.36,750.39,249.89,202.56,197.58,251.04,519.88,249.66,344.79,209.38,251.96,253.23,208.78,373.05,381.76,654.46
2025-09-04,324.71,206.53,741.06,249.71,203.83,197.67,251.34,517.58,249.39,344.18,209.32,249.85,251.76,208.47,371.92,377.82,651.75
2025-09-07,321.11,205.98,723.88,247.56,202.38,197.13,251.23,514.87,248.75,341.54,207.7,249.68,252.21,208.04,369.68,375.01,642.44
2025-09-08,317.16,204.53,711.56,244.98,200.55,194.38,248.37,513.15,246.21,339.78,205.25,245.86,248.64,205.36,365.16,372.25,631.7
