Date,ADBL_Open,ADBL_High,ADBL_Low,ADBL_Close,ADBL_Volume,CZBIL_Open,CZBIL_High,CZBIL_Low,CZBIL_Close,CZBIL_Volume,EBL_Open,EBL_High,EBL_Low,EBL_Close,EBL_Volume,GBIME_Open,GBIME_High,GBIME_Low,GBIME_Close,GBIME_Volume,HBL_Open,HBL_High,HBL_Low,HBL_Close,HBL_Volume,KBL_Open,KBL_High,KBL_Low,KBL_Close,KBL_Volume,MBL_Open,MBL_High,MBL_Low,MBL_Close,MBL_Volume,NABIL_Open,NABIL_High,NABIL_Low,NABIL_Close,NABIL_Volume,NBL_Open,NBL_High,NBL_Low,NBL_Close,NBL_Volume,NICA_Open,NICA_High,NICA_Low,NICA_Close,NICA_Volume,NIMB_Open,NIMB_High,NIMB_Low,NIMB_Close,NIMB_Volume,NMB_Open,NMB_High,NMB_Low,NMB_Close,NMB_Volume,PCBL_Open,PCBL_High,PCBL_Low,PCBL_Close,PCBL_Volume,PRVU_Open,PRVU_High,PRVU_Low,PRVU_Close,PRVU_Volume,SANIMA_Open,SANIMA_High,SANIMA_Low,SANIMA_Close,SANIMA_Volume,SBL_Open,SBL_High,SBL_Low,SBL_Close,SBL_Volume,SCB_Open,SCB_High,SCB_Low,SCB_Close,SCB_Volume
2024-09-18,350.0,357.9,346.0,353.1,86056.0,225.4,238.6,225.4,235.0,105221.0,709.0,709.0,694.0,703.0,83610.0,235.0,241.9,233.0,238.1,255350.0,244.0,247.0,238.6,240.0,131212.0,212.0,218.0,208.1,216.0,507270.0,232.0,239.7,231.3,237.9,67383.0,562.0,565.0,550.0,556.0,68886.0,275.4,275.4,264.7,267.0,85937.0,458.0,458.0,447.0,455.0,59933.0,226.0,231.5,221.5,229.5,135497.0,245.0,251.5,241.3,250.0,114697.0,270.0,274.0,264.8,273.0,124556.0,224.5,236.0,224.5,233.0,239901.0,325.0,333.0,322.1,326.1,115099.0,324.0,330.0,321.0,327.5,51719.0,672.0,685.0,661.0,680.0,43154.0
2024-09-22,360.1,365.0,355.5,355.6,61970.0,239.7,244.4,230.3,233.0,71565.0,717.0,717.0,700.0,705.0,82020.0,242.8,247.6,240.0,244.0,170258.0,240.0,249.0,240.0,247.0,72775.0,220.3,224.0,213.8,216.0,304116.0,242.6,245.8,238.0,240.0,58248.0,556.0,578.0,556.0,562.0,55026.0,272.3,276.9,268.0,271.0,74365.0,464.1,471.0,449.2,452.0,78178.0,234.0,240.9,226.4,229.0,116177.0,255.0,260.1,248.3,253.0,99851.0,278.4,282.1,274.0,274.0,115259.0,237.0,245.0,233.0,237.0,211227.0,332.6,339.0,326.4,330.0,84479.0,334.0,334.0,327.5,330.0,52536.0,693.6,707.0,680.0,707.0,25074.0
2024-09-23,362.7,362.7,352.0,354.0,59299.0,237.6,237.6,230.0,230.1,66508.0,719.0,719.0,694.5,695.0,132220.0,248.8,248.8,237.0,238.0,130133.0,251.9,251.9,242.0,245.0,99561.0,220.3,220.3,211.6,212.0,258913.0,244.8,244.8,233.5,238.9,51524.0,573.2,573.2,555.0,568.0,123568.0,276.4,276.4,265.5,267.9,47978.0,461.0,461.0,443.0,444.5,87158.0,233.0,233.0,223.8,224.0,152930.0,258.0,258.0,246.0,247.8,85246.0,279.4,279.4,270.0,271.0,102181.0,240.0,240.0,231.0,231.9,245810.0,336.6,336.6,327.0,327.0,105790.0,336.6,336.6,323.5,328.0,48085.0,721.1,721.1,685.0,685.0,27899.0
2024-09-24,354.0,359.0,350.1,351.2,83688.0,226.0,233.0,226.0,229.0,71637.0,631.0,640.0,608.0,609.9,76756.0,235.1,241.7,233.0,234.9,169830.0,243.5,248.2,239.0,242.0,72513.0,212.0,216.0,205.0,205.9,242918.0,235.1,239.7,231.1,231.1,58499.0,567.0,567.0,552.1,553.5,66337.0,267.9,268.9,260.0,261.5,149322.0,441.1,444.0,430.0,430.2,114932.0,222.0,227.9,216.0,216.0,160907.0,252.0,252.0,243.0,243.2,68093.0,266.2,271.0,266.0,268.0,104673.0,231.0,236.0,225.0,227.3,237224.0,327.0,333.0,319.7,320.1,109553.0,327.9,330.0,322.0,324.4,69286.0,683.0,697.9,676.0,677.0,22915.0
2024-09-25,351.0,359.9,348.9,359.0,78883.0,228.0,233.5,223.5,233.0,73791.0,609.0,610.0,580.8,600.0,55644.0,235.0,243.0,232.3,243.0,231718.0,242.0,246.8,238.0,246.0,97519.0,210.0,213.4,205.1,213.0,275334.0,233.0,241.4,228.7,238.0,70338.0,550.0,560.0,545.1,555.0,50441.0,262.0,270.0,256.4,270.0,183144.0,427.0,442.6,427.0,442.5,78402.0,219.0,225.0,215.9,225.0,182441.0,243.2,252.0,241.0,250.0,79900.0,266.0,270.0,260.3,269.5,67930.0,229.0,234.0,224.2,233.0,224702.0,320.1,328.8,318.1,327.6,87286.0,324.0,330.0,320.2,330.0,54680.0,672.2,690.5,665.2,685.0,29451.0
2024-09-26,359.0,365.0,355.0,357.0,34594.0,228.4,237.0,227.1,227.1,67511.0,600.0,608.0,590.1,598.0,37015.0,247.8,247.8,234.0,238.0,114688.0,246.0,249.8,239.3,241.8,49182.0,213.0,214.7,207.8,210.0,212755.0,240.0,240.0,230.1,237.0,43710.0,555.2,562.0,549.0,550.0,50686.0,270.2,273.0,261.7,264.0,52193.0,433.7,448.0,433.7,437.0,57402.0,225.0,228.0,221.1,223.0,93504.0,252.0,252.0,245.4,245.6,36044.0,271.0,274.7,268.0,268.0,66627.0,234.4,237.6,227.9,229.0,124117.0,326.0,334.0,326.0,330.6,87733.0,329.9,331.5,325.0,326.0,29285.0,698.0,698.6,671.5,680.0,35791.0
2024-09-29,357.0,357.0,350.0,352.3,35272.0,228.0,228.0,224.0,225.0,35373.0,598.0,598.9,567.0,594.0,56411.0,234.1,240.0,231.0,235.0,119056.0,244.0,245.0,239.3,240.0,46758.0,210.0,211.0,205.0,206.5,217662.0,232.3,234.9,229.2,230.3,83012.0,550.0,550.0,540.0,541.5,46227.0,263.0,265.0,258.5,262.0,62665.0,435.0,440.0,429.0,436.0,32022.0,224.0,225.0,219.0,223.8,108683.0,241.1,246.5,241.0,245.0,61423.0,265.0,269.0,262.7,264.1,76841.0,225.2,230.0,222.1,226.1,138290.0,325.0,333.0,324.0,331.9,69023.0,321.2,325.0,319.0,325.0,40943.0,670.0,681.0,666.0,679.0,37334.0
2024-09-30,350.0,358.0,350.0,357.5,36555.0,224.9,230.6,224.0,230.6,59901.0,592.9,593.0,585.0,585.0,26247.0,233.0,240.1,233.0,238.0,114806.0,240.0,245.0,240.0,245.0,43206.0,210.6,211.0,206.0,208.6,224063.0,232.0,236.9,228.5,236.9,73075.0,540.0,550.5,540.0,550.0,49497.0,260.0,264.9,258.2,263.0,40118.0,442.7,442.9,435.0,440.0,39543.0,223.7,228.2,221.2,226.0,120650.0,242.5,252.9,242.5,251.5,59124.0,263.0,269.3,260.3,268.0,61403.0,227.0,231.0,224.1,231.0,146735.0,326.1,335.5,326.1,333.0,95382.0,320.1,327.9,320.1,327.7,39358.0,684.9,685.0,673.0,680.9,21518.0
2024-10-01,357.0,372.0,357.0,370.1,87013.0,227.4,240.0,227.4,240.0,109888.0,586.1,615.0,586.0,615.0,64523.0,240.0,249.9,240.0,249.9,267153.0,247.1,255.0,244.2,254.6,146838.0,210.0,220.2,210.0,219.0,542232.0,240.0,244.8,232.3,244.0,73463.0,550.0,571.0,550.0,568.0,74522.0,267.9,273.0,263.0,273.0,119057.0,447.5,463.9,441.0,458.7,118682.0,226.0,236.0,226.0,234.4,201486.0,254.5,258.0,252.3,258.0,113202.0,272.0,279.0,269.0,278.8,132242.0,229.0,242.0,229.0,241.9,308419.0,333.0,348.0,333.0,346.1,169866.0,327.7,339.0,326.0,338.4,82030.0,688.9,697.0,682.5,690.4,28259.0
2024-10-02,370.1,377.0,359.0,369.0,79249.0,244.8,244.8,235.2,239.0,87781.0,615.0,619.9,597.0,603.0,48804.0,254.8,254.8,240.5,245.5,276956.0,259.0,259.0,246.2,250.0,69748.0,219.0,222.9,214.7,217.0,357244.0,246.8,248.8,239.0,239.5,62527.0,571.0,579.3,565.0,565.0,56823.0,273.0,280.0,272.0,276.0,553127.0,465.0,474.0,458.0,462.0,106390.0,230.0,238.0,230.0,233.0,205891.0,260.0,263.1,256.0,260.0,130990.0,279.0,283.0,275.0,277.2,119874.0,244.0,245.0,236.0,237.0,224704.0,350.0,351.0,342.2,345.1,169155.0,338.0,341.0,334.2,335.0,71249.0,700.0,703.8,683.4,688.0,23208.0
2024-10-06,369.0,378.0,367.0,378.0,89543.0,239.0,245.0,237.1,244.6,75930.0,603.0,606.0,595.0,603.0,52529.0,246.0,250.0,244.0,249.0,177497.0,250.0,257.4,248.0,257.0,60056.0,217.0,224.0,213.8,223.0,475494.0,237.1,247.0,237.1,246.9,65421.0,565.0,574.0,556.0,574.0,84468.0,280.0,285.0,276.2,284.0,86884.0,470.0,476.9,462.0,474.0,70077.0,234.0,239.5,232.0,239.5,208583.0,259.0,269.5,255.0,267.5,111109.0,277.0,286.5,277.0,285.3,93775.0,238.0,246.0,235.0,245.0,295805.0,343.0,358.0,342.0,356.3,138482.0,330.1,343.7,330.1,339.1,110999.0,694.0,699.0,686.5,692.2,34057.0
2024-10-07,378.0,385.0,378.0,382.0,72876.0,246.0,255.0,246.0,251.0,197448.0,614.9,620.0,605.0,612.7,56336.0,252.0,257.0,249.0,253.1,218332.0,257.0,263.0,257.0,259.9,99084.0,224.0,232.0,224.0,228.0,565728.0,250.0,259.9,249.0,254.2,158288.0,584.0,593.2,580.0,591.5,69067.0,289.0,291.8,286.6,289.1,127631.0,483.0,483.4,475.0,475.0,61966.0,240.0,246.0,240.0,245.0,248821.0,267.6,273.5,267.6,272.0,89183.0,285.3,294.0,285.0,292.9,156469.0,247.7,254.2,246.6,251.7,293868.0,363.4,364.5,356.3,360.4,243777.0,340.0,346.8,340.0,345.9,131789.0,703.0,710.0,694.9,696.0,44011.0
2024-10-08,387.0,387.0,378.0,381.4,55126.0,256.0,259.0,247.6,250.9,150079.0,610.0,614.8,607.0,613.5,18457.0,255.0,258.1,250.5,251.1,222852.0,260.0,264.8,256.0,257.6,60120.0,231.0,232.5,225.8,226.1,266648.0,254.0,257.0,252.1,254.7,82541.0,592.0,600.0,580.0,591.0,65705.0,289.6,291.0,288.0,289.9,63859.0,470.0,485.0,468.0,480.0,270991.0,245.0,247.9,240.3,240.6,91492.0,275.0,276.0,267.5,270.8,78846.0,297.0,297.0,289.3,294.9,86444.0,254.0,256.0,248.0,248.9,200750.0,365.0,365.0,357.0,358.0,181187.0,345.9,348.0,343.0,344.0,56197.0,696.1,705.0,692.1,696.1,25902.0
2024-10-09,378.0,384.0,376.0,383.5,52289.0,248.4,254.0,248.3,253.0,181786.0,611.0,618.0,611.0,613.1,26956.0,250.1,254.0,250.1,253.7,136698.0,252.7,262.0,252.7,261.5,44262.0,226.1,227.0,223.0,226.0,326983.0,254.0,256.0,252.0,256.0,45862.0,595.0,595.0,580.0,593.0,38505.0,288.0,290.0,286.0,288.0,81171.0,480.0,483.0,473.0,478.0,38554.0,241.0,243.0,238.1,241.0,84218.0,270.8,270.9,265.5,269.2,63479.0,290.0,294.8,290.0,294.1,58129.0,248.9,252.0,247.0,249.9,163770.0,350.9,350.9,338.0,342.3,555318.0,341.0,347.0,332.0,346.9,49134.0,706.9,706.9,691.2,700.0,28344.0
2024-10-15,383.5,389.0,381.0,387.5,51430.0,247.0,252.5,240.0,250.0,102352.0,624.9,624.9,613.2,615.0,13521.0,255.1,258.9,253.9,258.4,129559.0,261.0,274.0,261.0,274.0,83124.0,229.0,231.8,224.8,231.5,185994.0,261.0,261.0,253.0,258.2,46845.0,593.0,601.0,593.0,600.0,69441.0,292.9,292.9,286.0,289.6,42375.0,487.5,489.0,476.0,486.8,14812.0,245.0,248.6,241.1,246.7,99684.0,272.0,276.5,268.0,275.4,61137.0,297.5,297.5,290.6,295.1,58684.0,254.5,256.0,249.5,253.1,150927.0,342.3,347.6,336.0,345.2,148071.0,350.9,357.9,350.0,355.7,114070.0,700.0,714.0,691.0,702.0,13687.0
2024-10-16,388.0,396.0,388.0,395.4,88954.0,255.0,258.0,249.0,258.0,114316.0,620.1,621.0,617.0,619.9,25136.0,261.5,266.7,259.5,263.0,199994.0,279.4,280.0,273.5,277.0,95074.0,233.1,239.5,230.1,237.0,424806.0,256.5,266.5,256.5,265.5,82204.0,608.0,608.0,601.0,608.0,94498.0,291.0,296.5,290.0,294.8,103158.0,494.0,501.9,484.0,498.7,302170.0,250.0,257.0,247.1,254.0,227412.0,275.0,282.5,275.0,280.0,121312.0,299.0,301.0,294.2,297.1,151109.0,254.2,265.0,254.0,265.0,371321.0,349.5,350.0,346.0,348.0,93610.0,357.0,366.1,353.7,366.0,115308.0,711.0,711.0,701.0,709.0,14394.0
2024-10-17,400.0,400.0,392.3,394.0,84201.0,258.0,265.0,252.0,260.0,257050.0,621.0,625.0,615.0,615.0,28695.0,265.0,271.0,263.0,266.5,362357.0,282.5,284.5,271.0,278.8,196132.0,237.2,251.9,236.2,243.0,1359024.0,267.0,273.0,265.0,266.4,109254.0,615.0,619.0,602.0,607.1,70872.0,295.0,302.0,295.0,300.0,161026.0,498.0,505.0,493.0,493.0,80563.0,254.0,264.9,253.0,256.1,409538.0,281.0,288.0,274.5,284.3,224299.0,300.0,302.0,294.2,298.0,141846.0,269.0,273.0,262.0,265.0,524513.0,348.0,351.7,344.1,348.0,223487.0,365.0,370.0,360.0,363.0,115119.0,710.0,715.0,707.0,710.0,22079.0
2024-10-20,390.0,394.9,380.0,386.6,112813.0,260.0,265.3,246.1,259.0,187574.0,615.0,620.1,604.0,614.4,32048.0,262.0,271.0,257.0,263.5,441438.0,275.0,286.0,270.2,275.0,214843.0,243.0,253.5,234.0,246.0,1536873.0,261.5,272.3,258.0,267.8,192084.0,600.0,606.0,593.0,597.0,100302.0,295.0,302.8,289.0,297.0,159264.0,484.0,495.0,479.1,480.0,187805.0,253.0,262.9,246.0,253.6,441708.0,280.0,285.6,270.0,280.1,226052.0,292.1,300.0,290.0,295.0,127422.0,260.0,271.0,255.1,263.0,682918.0,342.0,351.0,336.1,340.5,138063.0,358.0,369.0,351.0,358.1,148197.0,700.0,709.6,695.0,703.3,25045.0
2024-10-21,381.1,385.9,377.5,377.6,85200.0,264.1,264.1,251.0,252.0,61560.0,614.0,615.0,602.2,606.1,32950.0,264.0,264.0,256.1,257.0,293514.0,274.0,274.9,266.0,267.0,96297.0,246.0,247.0,240.1,240.1,731741.0,263.2,265.1,258.4,259.0,98849.0,595.0,597.0,584.0,585.5,112249.0,295.7,295.7,286.4,286.5,163658.0,472.0,480.0,468.4,469.2,70285.0,258.6,258.6,248.2,248.7,288479.0,278.4,280.2,272.1,274.0,140505.0,291.1,294.0,283.3,283.3,110793.0,262.0,265.0,255.0,255.9,432140.0,347.3,347.3,333.0,334.0,103753.0,363.0,363.0,352.7,353.9,59425.0,708.0,708.0,692.0,692.0,22530.0
2024-10-22,375.5,382.0,374.2,378.1,53921.0,250.0,255.0,245.0,252.0,181956.0,605.0,615.0,595.0,600.0,28351.0,258.0,262.0,255.1,260.5,206907.0,265.0,274.0,264.1,273.0,84499.0,240.1,245.0,238.6,240.9,572846.0,258.0,263.0,252.9,259.0,46346.0,581.5,592.0,577.0,591.0,77275.0,290.0,291.7,286.4,291.0,67830.0,475.0,476.0,459.5,465.0,104000.0,248.1,253.6,246.1,251.0,143147.0,270.1,275.4,266.0,271.0,106557.0,287.0,295.0,286.9,294.0,123926.0,261.0,261.0,252.0,258.0,230874.0,334.0,345.0,332.0,336.2,86255.0,353.0,355.0,346.2,353.1,58374.0,688.2,698.0,685.0,687.5,24363.0
2024-10-23,378.1,384.0,365.0,367.0,135310.0,257.0,257.0,240.1,242.0,213877.0,612.0,630.0,604.0,605.0,36074.0,265.7,267.0,255.4,256.1,306366.0,267.6,270.5,259.5,261.9,188103.0,245.7,245.7,231.7,234.0,1131167.0,264.0,266.0,254.0,255.0,118963.0,591.0,607.2,591.0,594.0,63996.0,296.8,308.0,290.3,292.8,281978.0,460.0,460.0,450.0,452.0,182640.0,253.0,256.0,240.0,241.9,285813.0,271.0,271.9,260.3,263.9,212587.0,299.8,305.7,290.9,292.0,216886.0,263.1,263.1,247.0,248.0,481682.0,330.0,342.7,325.0,326.0,178643.0,360.0,368.0,345.0,346.0,113712.0,700.0,714.0,690.0,691.1,59792.0
