Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,OBV
2024-12-05,350.2,352.1,348.0,349.0,35035.0,355.09285714285716,354.9875903153578,29.885057459241608,-167342.0
2024-12-08,346.1,349.0,340.0,341.2,53335.0,353.5357142857143,353.14924493997677,24.413145531882975,-220677.0
2024-12-09,341.6,345.0,336.7,339.0,32050.0,352.09999999999997,351.26267894797985,25.42787285193174,-252727.0
2024-12-10,340.0,340.0,330.0,331.0,46578.0,350.10714285714283,348.5609884215825,21.35523613349129,-299305.0
2024-12-11,330.0,336.0,323.0,336.0,69547.0,348.89285714285717,346.88618996537156,32.2175732123212,-229758.0
2024-12-12,342.7,342.7,329.0,333.0,27811.0,347.67857142857144,345.03469796998866,32.2175732123212,-257569.0
2024-12-16,333.0,333.0,320.0,321.0,72485.0,345.4714285714286,341.8300715739902,23.31606217052807,-330054.0
2024-12-17,322.0,324.9,319.1,322.0,38502.0,342.9857142857143,339.1860620307915,17.77777777316868,-291552.0
2024-12-18,321.0,324.9,321.0,322.5,27913.0,340.45,336.9612537600193,16.69793620574535,-263639.0
2024-12-19,328.9,328.9,323.8,324.0,99471.0,337.87857142857143,335.2330865920167,15.909090904872556,-164168.0
2024-12-22,317.6,326.4,317.6,323.2,30552.0,335.5642857142857,333.6286750464145,17.073170726849057,-194720.0
2024-12-23,321.0,326.0,318.0,325.0,34848.0,333.60714285714283,332.4781850402259,21.338912127641322,-159872.0
2024-12-24,327.4,329.0,322.1,326.9,24396.0,331.84285714285716,331.73442703486245,24.74437627103427,-135476.0
2024-12-26,323.4,335.0,322.0,333.8,53904.0,330.5428571428571,332.00983676354747,33.57400721173222,-81572.0
2024-12-29,334.2,337.0,332.0,333.9,105485.0,329.4642857142857,332.2618585284078,35.619047609549185,23913.0
2024-12-31,321.9,321.9,309.8,314.0,52420.0,327.5214285714286,329.8269440579534,28.947368414779206,-28507.0
2025-01-01,314.0,315.0,307.0,307.1,33089.0,325.24285714285713,326.7966848502263,26.984126978675647,-61596.0
2025-01-02,307.0,308.0,304.0,306.0,28790.0,323.45714285714286,324.02379353686285,29.967948711225134,-90386.0
