Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,OBV
2024-11-28,235.0,235.0,226.1,226.9,171958.0,227.46428571428572,227.2151621539481,43.88297870706485,-185551.0
2024-12-01,231.4,231.4,222.0,222.6,206417.0,226.82857142857142,226.59980720008838,39.37947492717631,-391968.0
2024-12-02,227.0,227.0,220.0,222.0,259133.0,225.91428571428568,225.98649957340993,33.67346937572884,-651101.0
2024-12-03,226.4,226.4,219.5,222.7,306992.0,225.17857142857142,225.5482996302886,36.482939619140105,-344109.0
2024-12-04,227.1,231.0,219.0,223.4,241490.0,224.7642857142857,225.26185967958347,41.71428569760002,-102619.0
2024-12-05,227.8,227.8,220.0,221.0,154089.0,224.20714285714283,224.6936117223057,39.45945944452884,-256708.0
2024-12-08,221.0,221.0,215.5,217.0,331112.0,223.34999999999997,223.66779682599827,35.294117634948094,-587820.0
2024-12-09,219.9,221.3,215.0,217.0,181436.0,222.63571428571427,222.77875724919852,37.11340204846424,-587820.0
2024-12-10,221.3,221.3,215.0,215.2,165563.0,222.00714285714284,221.76825628263873,38.29787232616568,-753383.0
2024-12-11,218.5,224.0,215.4,224.0,274900.0,222.2357142857143,222.06582211162024,53.703703686299704,-478483.0
2024-12-12,228.4,228.4,218.0,219.9,230808.0,222.3714285714286,221.77704583007088,52.134831444272194,-709291.0
2024-12-16,219.9,219.9,215.0,215.6,170151.0,222.05714285714288,220.95343971939477,45.29914528559427,-879442.0
2024-12-17,217.0,218.4,213.0,215.0,137237.0,220.95000000000002,220.1596477568088,28.997289961898076,-1016679.0
2024-12-18,215.1,218.0,213.0,213.7,121161.0,219.71428571428572,219.2983613892343,27.05570290772468,-1137840.0
2024-12-19,212.3,216.0,211.0,211.2,123891.0,218.59285714285716,218.2185798706697,28.2548476344718,-1261731.0
2024-12-22,207.0,214.9,207.0,209.1,140012.0,217.62857142857143,217.0027692212471,30.08849556279533,-1401743.0
2024-12-23,211.5,211.9,208.2,211.9,124211.0,216.90714285714287,216.3223999917475,36.01108031844448,-1277532.0
2024-12-24,214.0,215.6,210.0,215.6,158037.0,216.4,216.22607999284784,40.92071609788006,-1119495.0
2024-12-26,215.6,225.0,211.7,221.0,674638.0,216.22857142857146,216.86260266046813,47.26027395749671,-444857.0
2024-12-29,224.0,225.4,218.7,219.3,496350.0,216.10714285714286,217.18758897240573,48.02784221177751,-941207.0
2024-12-31,223.6,223.6,212.1,214.9,235656.0,215.95714285714286,216.88257710941832,47.586206881236635,-1176863.0
2025-01-01,217.0,217.0,212.0,213.7,148827.0,215.7214285714286,216.45823349482922,46.3087248177109,-1325690.0
2025-01-02,217.9,217.9,212.0,212.6,102194.0,215.53571428571428,215.94380236218532,47.04545453048554,-1427884.0
2025-01-05,210.0,212.0,209.6,210.0,173460.0,214.53571428571428,215.1512953805606,31.481481469821688,-1601344.0
2025-01-06,214.0,217.0,209.8,215.0,204318.0,214.18571428571428,215.13112266315252,43.66925063019716,-1397026.0
2025-01-07,217.0,217.5,211.0,212.0,127488.0,213.92857142857142,214.71363964139886,45.1871657584861,-1524514.0
2025-01-08,215.0,215.0,210.6,212.3,251308.0,213.73571428571427,214.39182102254568,46.36118596633272,-1273206.0
2025-01-12,211.0,213.8,209.2,209.7,73162.0,213.45000000000002,213.76624488620627,44.791666650336374,-1346368.0
2025-01-13,213.8,213.8,208.0,209.0,201041.0,213.29285714285714,213.13074556804546,46.99453550114965,-1547409.0
2025-01-15,209.0,210.0,207.0,207.5,158741.0,213.17857142857142,212.37997949230606,47.777777759197534,-1706150.0
2025-01-16,211.6,211.6,205.0,205.9,174065.0,212.75,211.51598222666524,41.379310328180736,-1880215.0
2025-01-19,205.0,207.6,202.2,205.8,189118.0,212.04999999999998,210.75385126310988,34.2948717794831,-2069333.0
2025-01-20,201.7,206.0,201.0,201.4,340854.0,210.65,209.50667109469524,17.549668866036612,-2410187.0
2025-01-21,200.0,201.5,196.0,196.0,260501.0,208.9857142857143,207.70578161540254,15.63421828262895,-2670688.0
2025-01-22,196.0,204.9,194.0,202.0,341439.0,208.06428571428572,206.94501073334888,31.830985902939887,-2329249.0
2025-01-23,198.0,205.0,198.0,198.2,173949.0,206.95714285714283,205.77900930223572,29.65879264002041,-2503198.0
2025-01-26,197.2,201.9,195.1,196.4,173539.0,205.79999999999998,204.5284747286043,29.12371132969764,-2676737.0
2025-01-27,197.0,197.8,193.2,195.0,148995.0,204.72857142857143,203.25801143145705,30.053191478171698,-2825732.0
2025-01-28,196.0,198.0,193.1,196.3,173515.0,203.39285714285714,202.33027657392947,22.418879046788703,-2652217.0
2025-02-02,198.2,203.7,198.2,203.2,304002.0,202.7642857142857,202.44623969740553,38.35978834558102,-2348215.0
2025-02-03,207.0,209.9,203.5,203.8,250866.0,202.15714285714287,202.6267410710848,38.84514434268158,-2097349.0
2025-02-04,207.8,207.8,201.1,202.5,216456.0,201.64285714285714,202.60984226160684,40.21739128904775,-2313805.0
2025-02-05,200.3,204.0,200.3,201.8,134441.0,201.1285714285714,202.5018632933926,40.21739128904775,-2448246.0
2025-02-06,201.1,203.5,199.2,200.0,135811.0,200.59285714285713,202.16828152094024,39.89218327335605,-2584057.0
2025-02-09,196.0,203.8,196.0,200.0,136675.0,200.17142857142855,201.8791773181482,41.69014082862925,-2584057.0
2025-02-10,196.0,203.0,196.0,199.5,138234.0,199.72142857142856,201.56195367572846,41.225626724870224,-2722291.0
2025-02-11,202.4,202.4,198.1,199.1,125142.0,199.55714285714288,201.23369318563135,46.39498430565736,-2847433.0
2025-02-12,200.0,202.0,197.0,199.2,123869.0,199.78571428571428,200.96253409421385,56.01503756450334,-2723564.0
2025-02-13,203.0,203.0,197.5,198.0,117662.0,199.5,200.56752954831867,40.82568804717617,-2841226.0
2025-02-16,198.0,201.0,198.0,200.8,176013.0,199.6857142857143,200.59852560854287,56.249999962139476,-2665213.0
2025-02-17,201.0,210.5,201.0,207.2,416349.0,200.45714285714286,201.47872219407049,71.25984248040793,-2248864.0
2025-02-18,207.2,212.2,207.0,207.9,467431.0,201.37857142857143,202.33489256819442,76.11336028074545,-1781433.0
2025-02-20,203.8,209.9,203.8,206.3,231140.0,202.09285714285713,202.86357355910184,69.9999999608,-2012573.0
2025-02-23,206.0,210.2,200.0,206.8,519845.0,202.35,203.38843041788826,59.677419309920275,-1492728.0
2025-02-24,203.0,214.0,203.0,210.0,360413.0,202.79285714285714,204.2699730288365,64.62264146675861,-1132315.0
2025-02-25,212.0,213.5,208.5,209.4,274303.0,203.28571428571428,204.95397662499164,66.82926824704346,-1406618.0
2025-02-27,213.5,224.4,213.5,219.0,931755.0,204.51428571428573,206.8267797416594,79.2517006425332,-474863.0
2025-03-02,221.0,223.2,217.0,222.8,495246.0,206.14285714285714,208.9565424427715,86.30573244559622,20383.0
2025-03-03,227.2,227.2,218.0,219.5,533229.0,207.53571428571428,210.36233678373532,78.09798267742445,-512846.0
2025-03-04,215.2,222.0,215.2,216.0,400938.0,208.71428571428572,211.11402521257062,71.88328909797438,-913784.0
2025-03-05,218.3,219.0,214.0,215.1,306634.0,209.85714285714286,211.64548851756123,70.94240835096352,-1220418.0
2025-03-06,216.0,217.0,214.1,215.1,178603.0,210.99285714285716,212.10609004855309,70.86614170624343,-1220418.0
2025-03-09,219.4,219.4,211.0,211.4,250604.0,211.95000000000002,212.011944708746,66.50246303125532,-1471022.0
2025-03-10,210.0,215.0,210.0,211.0,195478.0,212.67857142857142,211.87701874757985,63.35078531709656,-1666500.0
2025-03-11,213.2,214.0,206.0,207.2,205460.0,212.67857142857142,211.25341624790255,49.99999998033707,-1871960.0
2025-03-12,203.1,213.0,203.1,210.0,168522.0,212.82857142857142,211.08629408151555,52.785145868992245,-1703438.0
2025-03-16,214.1,214.1,206.2,207.0,175967.0,212.87857142857143,210.54145487064682,50.895140646738305,-1879405.0
2025-03-17,208.0,210.0,206.0,207.8,268263.0,212.95000000000002,210.1759275545606,51.2690355147775,-1611142.0
2025-03-18,211.9,211.9,206.0,207.0,80775.0,212.7357142857143,209.75247054728584,45.945945928561,-1691917.0
2025-03-19,207.0,208.6,205.3,206.0,137595.0,212.49285714285716,209.25214114098108,45.45454543753039,-1829512.0
2025-03-20,205.3,206.4,204.1,205.03,163630.0,211.49499999999998,208.68918898885028,25.72123738755316,-1993142.0
2025-03-23,206.0,206.0,200.0,200.99,273583.0,209.93714285714287,207.6626304570036,12.409513954714527,-2266725.0
2025-03-24,200.0,204.8,199.1,203.97,129357.0,208.8278571428571,207.17027972940312,22.93482048375438,-2137368.0
2025-03-25,208.0,208.0,199.9,200.0,148905.0,207.685,206.21424243214938,22.565157739509203,-2286273.0
2025-03-26,200.0,204.1,200.0,203.1,173395.0,206.8278571428571,205.79901010786278,30.867346924995445,-2112878.0
2025-03-27,207.1,207.1,203.0,204.72,156686.0,206.08642857142857,205.6551420934811,34.26318979746257,-1956192.0
2025-03-30,206.0,211.1,203.1,207.41,226978.0,205.80142857142854,205.88912314768362,43.75977476970168,-1729214.0
2025-04-01,208.0,208.0,205.0,206.1,149603.0,205.45142857142855,205.9172400613258,42.548661782369784,-1878817.0
2025-04-02,206.1,226.0,204.1,211.67,424024.0,205.7707142857143,206.6842747198157,56.45021642740828,-1454793.0
2025-04-03,212.0,218.8,210.0,213.24,686230.0,206.00214285714287,207.5583714238403,54.847396745426,-768563.0
2025-04-07,213.9,216.0,209.0,209.8,208847.0,206.20214285714286,207.85725523399492,54.13467215718,-977410.0
2025-04-08,207.0,210.0,205.0,209.24,416723.0,206.305,208.0416212027956,52.14158236972093,-1394133.0
2025-04-09,213.4,213.4,207.6,209.01,117504.0,206.4485714285714,208.17073837575617,53.04084717874214,-1511637.0
2025-04-10,210.0,211.8,207.8,208.39,382250.0,206.61928571428572,208.1999732589887,53.657789998432506,-1893887.0
2025-04-13,212.5,212.5,205.0,206.03,244161.0,206.69071428571428,207.91064349112355,51.46799763004838,-2138048.0
2025-04-15,210.0,210.0,205.9,208.22,191495.0,207.20714285714283,207.9518910256404,61.223222575065954,-1946553.0
2025-04-16,212.0,212.0,207.5,208.36,215275.0,207.5207142857143,208.006305555555,57.47361250239599,-1731278.0
2025-04-17,209.9,213.0,208.0,211.03,218232.0,208.30857142857144,208.40946481481436,69.64731026095252,-1513046.0
2025-04-20,211.0,211.0,204.0,205.96,239347.0,208.51285714285717,208.08286950617244,54.7603195483807,-1752393.0
2025-04-21,210.0,210.0,203.8,204.25,297115.0,208.4792857142857,207.5718202386828,49.22004644244671,-2049508.0
2025-04-22,204.0,205.0,202.0,202.1,227022.0,208.1,206.84224420685842,41.02737409346458,-2276530.0
2025-04-23,202.1,202.9,198.5,198.86,547995.0,207.58285714285716,205.77794497927732,38.51522840928896,-2824525.0
2025-04-24,202.8,210.9,197.0,203.81,328146.0,207.02142857142857,205.5155523153737,37.281553381166965,-2496379.0
2025-04-27,203.9,205.0,199.8,200.12,481197.0,206.0842857142857,204.79614533999055,30.133252561421372,-2977576.0
2025-04-28,204.1,204.1,198.0,198.44,226346.0,205.27285714285716,203.94865929465848,31.829814445117776,-3203922.0
2025-04-29,202.4,202.4,197.0,197.76,156396.0,204.4528571428571,203.12350472203735,31.708094313450786,-3360318.0
2025-04-30,201.7,201.7,195.0,197.98,282874.0,203.665,202.43770409243237,32.419509070644764,-3077444.0
2025-05-04,200.0,200.0,195.0,195.39,280301.0,202.7364285714286,201.49801021344138,30.503899207346876,-3357745.0
2025-05-05,196.9,198.0,195.0,196.04,8822.0,202.02285714285716,200.77027551831586,34.20803033579156,-3348923.0
2025-05-06,196.4,198.0,195.0,195.5,113982.0,201.11428571428573,200.06757211587373,28.78585722471641,-3462905.0
2025-05-07,195.6,210.0,192.1,204.22,471302.0,200.81857142857143,200.62122916709058,44.63174272238471,-2991603.0
2025-05-11,203.0,205.0,198.6,198.81,186134.0,199.94571428571427,200.37973194481185,35.20581112608035,-3177737.0
2025-05-13,201.7,201.7,197.0,197.26,130955.0,199.3242857142857,199.9637676855036,38.485971399184635,-3308692.0
2025-05-14,196.4,198.2,195.4,195.96,118123.0,198.73214285714286,199.42993199410313,38.908215131262644,-3426815.0
2025-05-15,195.5,197.9,194.7,195.96,170436.0,198.29357142857143,198.9672743948894,41.283361709881696,-3426815.0
2025-05-18,198.8,198.8,195.0,196.06,285532.0,198.09357142857144,198.57963780890415,45.63591020452296,-3141283.0
2025-05-19,196.0,198.8,196.0,197.55,110963.0,197.64642857142854,198.44235276771695,39.063591874671914,-3030320.0
2025-05-20,199.3,203.9,195.2,203.08,343769.0,197.85785714285717,199.06070573202138,54.85883122888959,-2686551.0
2025-05-21,207.1,218.0,202.0,204.64,470621.0,198.3007142857143,199.80461163441854,60.217534579991906,-2215930.0
2025-05-22,206.0,218.0,203.0,217.04,1996210.0,199.67785714285716,202.10266341649609,72.91963858723551,-219720.0
2025-05-25,221.3,221.3,212.7,216.86,828069.0,201.0264285714286,204.0703082942966,72.46549259841707,-1047789.0
2025-05-26,221.0,225.0,213.4,216.21,1002514.0,202.51357142857142,205.68893385505706,75.97305386567814,-2050303.0
2025-05-27,215.0,219.0,212.1,215.57,428901.0,203.9085714285714,207.00640934104945,74.36985273169012,-2479204.0
2025-05-28,214.1,224.0,213.0,222.07,985045.0,205.80642857142857,209.0148880955762,78.8616119681933,-1494159.0
2025-06-02,226.5,231.0,219.7,221.5,800057.0,207.0407142857143,210.67956968283272,72.80887008924701,-2294216.0
2025-06-03,225.9,225.9,212.3,213.56,513600.0,208.09428571428572,211.06362705845504,68.25043303747822,-2807816.0
2025-06-04,213.5,214.9,210.0,213.57,380707.0,209.2592857142857,211.3978101173277,70.98019035261844,-2427109.0
2025-06-05,214.0,223.1,210.0,212.93,553708.0,210.47142857142856,211.60210210168404,72.20622870947693,-2980817.0
2025-06-08,210.0,217.0,208.0,209.52,496424.0,211.44,211.32448848812618,66.29024505218496,-3477241.0
