Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,OBV
2024-11-28,263.9,267.5,262.0,262.1,77033.0,267.92857142857144,264.65912752563753,52.27272726579718,-44698.0
2024-12-01,267.3,267.3,255.0,256.8,115085.0,267.89285714285717,263.6112438555525,49.77457167992025,-159783.0
2024-12-02,261.9,261.9,252.9,255.5,98995.0,265.92857142857144,262.52974467481215,34.104046237254835,-258778.0
2024-12-03,260.6,260.6,253.4,256.0,56620.0,264.92857142857144,261.6591120515039,40.54054053287071,-202158.0
2024-12-04,261.1,261.1,254.0,255.0,50815.0,264.2357142857143,260.77123044463667,43.041606878011734,-252973.0
2024-12-05,255.0,255.8,250.3,252.2,30287.0,261.5357142857143,259.62839971868516,9.957627115690514,-283260.0
2024-12-08,250.1,255.0,244.1,245.0,117332.0,259.32142857142856,257.6779464228605,11.633663362305143,-400592.0
2024-12-09,242.0,248.0,241.4,244.8,53587.0,257.6642857142857,255.9608868998124,14.417177907918983,-454179.0
2024-12-10,248.0,249.4,244.0,246.0,52844.0,256.09285714285716,254.63276864650408,17.45562129454497,-401335.0
2024-12-11,242.0,253.9,240.1,252.0,140336.0,255.5071428571429,254.2817328269702,37.18749998373046,-260999.0
2024-12-12,252.0,252.0,244.0,245.0,51679.0,254.45000000000002,253.04416845004084,30.829015532859913,-312678.0
2024-12-16,241.1,243.9,238.0,238.0,51052.0,252.59285714285716,251.03827932336873,18.59903381013558,-363730.0
2024-12-17,235.0,242.0,235.0,238.2,52244.0,250.75,249.32650874691956,18.99038460899358,-311486.0
2024-12-18,240.0,240.0,236.1,239.0,25541.0,248.97142857142856,247.94964091399697,20.567375879717645,-285945.0
2024-12-19,240.0,241.0,235.5,236.7,53379.0,247.15714285714284,246.44968879213073,20.32710279708924,-339324.0
2024-12-22,232.0,244.4,231.0,233.0,63798.0,245.45714285714283,244.65639695317998,21.116504847193397,-403122.0
2024-12-23,231.0,234.9,230.0,234.9,121962.0,243.98571428571427,243.35554402608932,25.358851666147757,-281160.0
2024-12-24,232.2,239.0,232.2,234.1,86212.0,242.42142857142855,242.1214714892774,23.990498804373686,-367372.0
2024-12-26,236.4,247.0,232.0,236.0,204039.0,241.0642857142857,241.3052752907071,27.90697673510006,-163333.0
2024-12-29,238.3,245.0,236.0,238.1,152453.0,240.05714285714288,240.87790525194617,33.333333322301016,-10880.0
2024-12-31,234.2,236.9,232.6,233.0,107850.0,239.20000000000002,239.82751788502003,35.07462685345659,-118730.0
2025-01-01,230.1,237.6,225.0,232.0,103211.0,238.28571428571428,238.78384883368403,34.390243890696,-221941.0
2025-01-02,229.1,234.2,224.8,230.0,157678.0,237.14285714285714,237.61266898919283,30.86124400880246,-379619.0
2025-01-05,230.0,231.0,228.6,230.0,68518.0,235.57142857142858,236.59764645730044,19.27374300922257,-379619.0
2025-01-06,228.6,237.5,228.0,237.0,273155.0,235.0,236.65129359632706,38.82681562727443,-106464.0
2025-01-07,233.0,238.6,233.0,238.0,51475.0,235.0,236.8311211168168,49.99999997651007,-54989.0
2025-01-08,240.0,240.0,233.0,233.5,82568.0,234.66428571428574,236.38697163457456,43.10850438112849,-137557.0
2025-01-12,239.1,239.1,229.0,229.7,24835.0,234.0,235.4953754166313,37.46630726348979,-162392.0
2025-01-13,234.2,234.2,219.8,226.0,211815.0,233.2357142857143,234.22932536108047,36.10389609076743,-374207.0
2025-01-15,221.5,228.8,220.0,223.0,41494.0,232.52142857142857,232.7320819796031,36.77248675886733,-415701.0
2025-01-16,225.0,225.9,219.6,225.0,59827.0,231.81428571428572,231.70113771565602,36.939313970523735,-355874.0
2025-01-19,221.0,226.0,221.0,226.0,29191.0,231.2357142857143,230.94098602023521,39.37007872569079,-326683.0
2025-01-20,227.0,229.3,224.0,227.2,69094.0,230.60714285714286,230.44218788420386,38.23529410333436,-257589.0
2025-01-21,225.0,225.0,220.3,223.0,53332.0,229.5285714285714,229.44989616631,30.88607593842012,-310921.0
2025-01-22,220.1,227.4,220.1,227.0,59617.0,229.09999999999997,229.12324334413535,42.18749998461914,-251304.0
2025-01-23,229.5,231.5,224.0,224.0,56200.0,228.5285714285714,228.440144231584,40.099009887094404,-307504.0
2025-01-26,221.5,224.9,221.0,222.9,36493.0,228.02142857142854,227.70145833403947,41.012658213311965,-343997.0
2025-01-27,225.0,225.0,221.0,222.5,40743.0,227.48571428571427,227.00793055616754,40.60150374515235,-384740.0
2025-01-28,224.9,224.9,219.0,223.0,49037.0,226.48571428571427,226.4735398153452,29.041916155491393,-335703.0
2025-02-02,227.4,232.0,225.1,232.0,103692.0,226.05714285714285,227.21040117329918,42.75362317394805,-232011.0
2025-02-03,236.0,239.0,230.0,231.1,173393.0,225.88571428571427,227.7290143501926,46.82539680805407,-405404.0
2025-02-04,231.1,238.7,229.0,231.1,80578.0,225.9857142857143,228.17847910350028,52.058823507975795,-405404.0
2025-02-05,227.0,236.4,224.0,231.9,240049.0,226.40714285714284,228.67468188970025,59.48553051984575,-165355.0
2025-02-06,234.5,234.5,231.0,233.0,62396.0,227.12142857142857,229.25139097107356,67.12328763905049,-102959.0
2025-02-09,228.4,235.0,226.0,226.0,146882.0,227.19285714285712,228.81787217493041,51.46198828302726,-249841.0
2025-02-10,230.5,235.1,225.8,227.0,77637.0,227.2642857142857,228.57548921827305,51.46198828302726,-172204.0
2025-02-11,227.0,230.0,225.0,226.3,137075.0,227.20000000000002,228.27209065583665,48.664688407082956,-309279.0
2025-02-12,226.0,232.0,225.5,228.5,44904.0,227.59285714285716,228.30247856839176,58.67507883844003,-264375.0
2025-02-13,226.2,231.5,225.0,229.9,64159.0,227.8,228.51548142593953,54.982817842963605,-200216.0
2025-02-16,230.0,232.8,227.6,227.6,130643.0,228.05714285714288,228.39341723581427,56.33802814124181,-330859.0
2025-02-17,227.7,236.5,227.7,234.0,253204.0,228.85,229.14096160437236,66.46884270235714,-77655.0
2025-02-18,238.6,238.6,229.4,234.0,240495.0,229.67142857142858,229.78883339045603,67.26726723898673,-77655.0
2025-02-20,230.1,234.8,230.1,232.9,78007.0,230.37857142857143,230.20365560506193,64.60176988482525,-155662.0
2025-02-23,228.3,234.6,228.0,233.0,142923.0,230.45000000000002,230.576501524387,51.99999997088,-12739.0
2025-02-24,233.1,236.0,230.1,231.1,69281.0,230.45000000000002,230.6463013211354,49.999999973076925,-82020.0
2025-02-25,233.4,235.0,230.0,230.3,89492.0,230.39285714285714,230.6001278116507,48.50746266122748,-171512.0
2025-02-27,234.9,246.9,234.9,240.6,367356.0,231.01428571428573,231.93344410343065,61.98347105047469,195844.0
2025-03-02,244.0,248.0,235.8,247.0,342036.0,232.01428571428573,233.94231822297323,66.82692305443325,537880.0
2025-03-03,249.9,253.9,242.0,244.0,346084.0,233.3,235.28334245991013,73.93617018523656,191796.0
2025-03-04,241.2,245.3,238.5,241.5,151032.0,234.33571428571432,236.1122301319221,68.5421994639491,40764.0
2025-03-05,242.0,244.9,235.5,236.2,162296.0,235.04285714285714,236.12393278099918,61.327231101634275,-121532.0
2025-03-06,237.0,238.8,234.1,237.0,93838.0,235.65,236.24074174353262,60.04728130400326,-27694.0
2025-03-09,235.0,236.0,233.2,234.0,73206.0,235.94285714285712,235.94197617772826,54.669703855002815,-100900.0
2025-03-10,234.0,235.8,230.0,232.0,68335.0,236.25714285714284,235.41637935403116,55.04587154195775,-169235.0
2025-03-11,234.5,234.5,228.5,229.7,57247.0,235.95000000000002,234.65419544016035,44.5569620095241,-226482.0
2025-03-12,230.0,232.2,228.0,230.0,47359.0,235.66428571428574,234.03363604813896,44.97487435603899,-179123.0
2025-03-16,232.4,232.4,226.0,227.2,48753.0,235.25714285714284,233.12248457505376,43.132530105931174,-227876.0
2025-03-17,227.2,231.8,227.1,228.9,31095.0,234.96428571428572,232.55948663171327,45.24361947486287,-196781.0
2025-03-18,233.4,233.4,227.0,228.0,57579.0,234.74285714285716,231.95155508081817,46.31828977082053,-254360.0
2025-03-19,230.0,230.9,227.1,228.0,60247.0,234.57857142857142,231.42468107004242,47.215496352033476,-254360.0
2025-03-20,225.1,230.5,225.0,228.19,52203.0,233.69214285714287,230.99339026070345,30.105803128519412,-202157.0
2025-03-23,227.2,228.8,223.3,223.87,64747.0,232.04,230.04360489260966,10.271384399045118,-266904.0
2025-03-24,219.4,227.0,219.4,225.98,41307.0,230.75285714285715,229.50179090692836,18.072289147660854,-225597.0
2025-03-25,222.0,224.9,220.0,220.8,90357.0,229.2742857142857,228.34155211933793,16.50485436145418,-315954.0
2025-03-26,223.0,228.0,221.0,224.97,98122.0,228.47214285714287,227.89201183675956,31.138730250724166,-217832.0
2025-03-27,229.4,229.5,223.3,228.23,47995.0,227.8457142857143,227.93707692519163,36.39466334131164,-169837.0
2025-03-30,230.0,234.5,226.5,228.85,110306.0,227.47785714285715,228.05880000183274,41.37353431895378,-59531.0
2025-04-01,225.0,229.5,221.0,225.93,116993.0,227.0442857142857,227.77496000158837,40.13649656932366,-176524.0
2025-04-02,230.4,230.4,222.5,227.84,46677.0,226.9114285714286,227.7836320013766,46.93877548857333,-129847.0
2025-04-03,229.9,238.6,226.0,230.78,131307.0,226.96714285714287,228.1831477345264,51.181102340504694,1460.0
2025-04-07,232.9,233.0,226.0,226.09,94899.0,226.88785714285714,227.90406136992286,48.41019763168885,-93439.0
2025-04-08,225.0,229.0,223.6,228.48,46411.0,226.8578571428571,227.9808531872665,49.410112340119596,-47028.0
2025-04-09,230.0,231.0,221.0,226.95,58127.0,226.78285714285715,227.84340609563097,48.550924629320626,-105155.0
2025-04-10,230.0,230.0,226.0,226.3,86878.0,226.66142857142856,227.63761861621353,47.695227747621125,-192033.0
2025-04-13,228.9,228.9,225.5,225.89,249268.0,226.49714285714282,227.40460280071838,46.90026952408073,-441301.0
2025-04-15,230.0,230.0,223.5,227.08,31228.0,226.72642857142858,227.36132242728928,54.72475711609814,-410073.0
2025-04-16,229.0,230.6,225.0,227.89,46859.0,226.86285714285714,227.43181277031738,52.92317108231024,-363214.0
