Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,OBV
2024-11-28,234.9,235.0,230.0,231.0,105974.0,233.77857142857144,233.06798775935437,38.17567565761962,-293892.0
2024-12-01,235.6,235.6,225.7,227.0,151845.0,232.99285714285716,232.2589227247738,33.630952366939496,-445737.0
2024-12-02,231.5,231.5,225.0,225.5,124606.0,231.81428571428572,231.35773302813732,23.47266879972294,-570343.0
2024-12-03,229.0,229.0,223.6,225.1,93942.0,230.85714285714286,230.52336862438568,26.07142855839288,-664285.0
2024-12-04,221.0,228.4,221.0,225.0,79103.0,230.1357142857143,229.7869194744676,29.554655853693745,-743388.0
2024-12-05,225.0,225.0,222.0,222.8,90104.0,229.20714285714286,228.85533021120526,25.190839681195712,-833492.0
2024-12-08,220.0,224.0,218.0,218.1,162123.0,227.92142857142858,227.42128618304457,20.588235284698214,-995615.0
2024-12-09,220.9,220.9,216.0,217.0,116805.0,226.77857142857144,226.03178135863865,22.027972017189114,-1112420.0
2024-12-10,217.0,219.0,215.1,217.9,65972.0,225.7357142857143,224.94754384415353,24.82758619491085,-1046448.0
2024-12-11,217.9,229.2,215.0,227.0,160338.0,225.53571428571428,225.22120466493305,46.045197721903016,-886110.0
2024-12-12,231.5,231.5,221.0,221.1,108790.0,225.1142857142857,224.67171070960865,42.33766232226682,-994900.0
2024-12-16,220.0,222.0,217.0,218.4,114205.0,224.4357142857143,223.83548261499416,38.21339949044695,-1109105.0
2024-12-17,219.8,221.5,218.0,219.0,91821.0,223.41428571428574,223.1907515996616,29.859154917802016,-1017284.0
2024-12-18,222.9,222.9,218.0,218.5,60246.0,222.3857142857143,222.56531805304007,29.775280887167,-1077530.0
2024-12-19,218.0,220.0,216.0,216.5,65812.0,221.35,221.7566089793014,29.691876739056397,-1143342.0
2024-12-22,212.2,218.0,212.2,213.0,126245.0,220.35,220.58906111539457,30.113636351659338,-1269587.0
2024-12-23,211.3,216.0,211.3,214.7,72639.0,219.57857142857142,219.8038529666753,34.745762698123116,-1196948.0
2024-12-24,218.0,218.9,213.6,218.9,109556.0,219.1357142857143,219.68333923778525,42.09183671966109,-1087392.0
2024-12-26,222.6,236.0,215.0,225.7,272941.0,219.18571428571428,220.48556067274723,50.76252721763233,-814451.0
2024-12-29,230.2,230.2,221.0,221.0,104775.0,219.05714285714285,220.5541525830476,48.14049585384364,-919226.0
2024-12-31,221.0,222.0,215.0,219.0,144765.0,219.12142857142857,220.34693223864124,50.984682697728985,-1063991.0
2025-01-01,221.0,222.5,216.9,217.1,74573.0,219.1285714285714,219.91400794015576,50.10752686663428,-1138564.0
2025-01-02,220.0,220.9,215.3,217.0,87635.0,219.0642857142857,219.525473548135,49.015317271636434,-1226199.0
2025-01-05,219.0,219.0,215.0,216.0,106701.0,218.2785714285714,219.0554104083837,35.37234041236135,-1332900.0
2025-01-06,213.0,219.2,213.0,218.0,48724.0,218.05714285714285,218.9146890205992,45.400593452949316,-1284176.0
2025-01-07,222.3,222.3,216.5,217.6,63648.0,218.0,218.73939715118598,48.72611462795649,-1347824.0
2025-01-08,221.9,221.9,216.0,216.3,68556.0,217.80714285714285,218.41414419769453,45.79439250339186,-1416380.0
2025-01-12,216.0,216.2,213.0,213.2,55315.0,217.42857142857142,217.71892497133527,42.36311237483907,-1471695.0
2025-01-13,215.9,215.9,210.0,210.9,141204.0,217.0285714285714,216.80973497515726,41.9999999832,-1612899.0
2025-01-15,208.1,211.8,208.1,210.5,86540.0,216.84999999999997,215.9684369784696,46.08150468197049,-1699439.0
2025-01-16,213.5,213.5,205.0,206.0,139566.0,216.22857142857143,214.639312048007,37.46397693012982,-1839005.0
2025-01-19,210.1,210.1,204.0,205.8,79863.0,215.29285714285714,213.46073710827275,28.66449510093473,-1918868.0
2025-01-20,209.9,214.0,206.8,207.0,194243.0,213.95714285714286,212.5993054938364,12.749003976952707,-1724625.0
2025-01-21,210.0,211.0,207.0,208.5,84172.0,213.06428571428572,212.05273142799157,21.461187200892354,-1640453.0
2025-01-22,209.0,213.6,208.3,211.6,93954.0,212.53571428571428,211.9923672375927,33.913043457618116,-1546499.0
2025-01-23,214.0,214.9,210.0,211.0,77298.0,212.1,211.86005160591367,35.944700437639355,-1623797.0
2025-01-26,207.0,214.3,207.0,208.0,81668.0,211.45714285714286,211.3453780584585,31.7073170551259,-1705465.0
2025-01-27,204.0,212.1,204.0,208.0,52532.0,210.8857142857143,210.89932765066402,33.050847438020654,-1705465.0
2025-01-28,206.1,209.4,206.1,208.5,99192.0,210.20714285714286,210.57941729724217,28.506787312258112,-1606273.0
2025-02-02,208.0,214.6,208.0,213.5,179177.0,209.91428571428568,210.96882832427656,42.322097356085784,-1427096.0
2025-02-03,213.5,219.9,213.5,215.5,136331.0,209.85714285714286,211.57298454770637,48.5401459605999,-1290765.0
2025-02-04,218.8,219.8,213.0,213.0,134633.0,209.84285714285713,211.76325327467887,49.62686564571733,-1425398.0
2025-02-05,213.0,215.9,210.5,213.0,71186.0,209.99285714285716,211.92815283805504,54.28571425469387,-1425398.0
2025-02-06,214.9,214.9,210.1,211.8,80046.0,210.08571428571432,211.91106579298105,52.56916993138467,-1505444.0
2025-02-09,211.8,213.0,209.1,211.0,74178.0,210.44285714285715,211.7895903539169,61.57407403416497,-1579622.0
2025-02-10,207.0,213.0,207.0,210.2,87919.0,210.75714285714284,211.57764497339465,59.909909872128836,-1667541.0
2025-02-11,209.0,214.0,209.0,210.0,89489.0,210.97142857142856,211.36729231027536,57.07547166042186,-1757030.0
2025-02-12,213.9,215.0,209.9,210.2,106648.0,211.09285714285716,211.21165333557198,54.27135674573873,-1650382.0
2025-02-13,209.0,214.0,209.0,210.2,67551.0,210.99285714285716,211.07676622416238,45.833333295138864,-1650382.0
2025-02-16,210.0,213.0,209.6,212.0,90629.0,211.06428571428572,211.19986406094074,52.7777777367284,-1559753.0
2025-02-17,214.0,220.3,211.1,218.0,230318.0,211.77857142857144,212.1065488528153,73.80952376031746,-1329435.0
2025-02-18,213.7,225.4,213.7,220.0,219012.0,212.6357142857143,213.15900900577327,76.08695647542534,-1110423.0
2025-02-20,215.6,224.0,215.6,218.4,114874.0,213.34285714285716,213.85780780500352,70.53941904615968,-1225297.0
2025-02-23,215.0,226.0,211.0,222.5,215378.0,213.9857142857143,215.01010009766972,69.39655168226071,-1009919.0
2025-02-24,225.0,226.0,220.6,222.0,178974.0,214.45000000000002,215.94208675131375,64.97695848342501,-1188893.0
2025-02-25,222.0,225.9,219.0,222.1,128913.0,215.1,216.7631418511386,73.5751294803082,-1059980.0
2025-02-27,226.5,238.0,226.0,229.0,266254.0,216.24285714285716,218.39472293765346,80.53435110200456,-793726.0
2025-03-02,233.5,234.5,229.0,233.5,330159.0,217.79285714285714,220.40875987929965,86.77966097576557,-463567.0
2025-03-03,235.0,237.9,229.1,229.2,250979.0,219.09285714285713,221.5809252287264,77.57575754284663,-714546.0
2025-03-04,224.7,233.5,224.7,226.2,208337.0,220.2357142857143,222.1968018648962,72.72727269834712,-922883.0
2025-03-05,225.5,227.0,221.2,221.2,168501.0,221.03571428571428,222.0638949495767,63.999999977599984,-1091384.0
2025-03-06,224.0,224.9,221.0,222.0,127070.0,221.8785714285714,222.05537562296647,64.53201968218107,-964314.0
2025-03-09,222.0,223.0,217.6,218.0,138742.0,222.43571428571428,221.5146588732376,58.744394600394145,-1103056.0
2025-03-10,222.0,226.0,216.2,218.0,207706.0,222.8642857142857,221.04603769013926,57.0093457757446,-1103056.0
2025-03-11,218.1,220.0,215.4,216.0,76434.0,222.72142857142856,220.37323266478737,47.42268039525986,-1179490.0
2025-03-12,216.2,222.0,216.1,220.0,182469.0,222.72142857142856,220.3234683094824,49.999999982843136,-997021.0
2025-03-16,224.3,224.3,215.5,217.7,74085.0,222.67142857142855,219.97367253488474,49.156626489441116,-1071106.0
2025-03-17,217.7,221.0,215.1,216.1,74714.0,222.21428571428572,219.45718286356677,41.79487177986851,-1145820.0
2025-03-18,218.0,219.0,215.1,215.6,41724.0,221.75714285714284,218.9428918150912,41.79487177986851,-1187544.0
2025-03-19,215.0,217.0,213.8,214.6,77883.0,221.22142857142856,218.36383957307905,40.60150374515236,-1265427.0
2025-03-20,212.8,215.5,211.1,211.61,102086.0,219.9792857142857,217.46332763000183,25.840511243074005,-1367513.0
2025-03-23,209.4,212.0,207.5,207.91,94214.0,218.15142857142857,216.18955061266826,13.640238698750707,-1461727.0
2025-03-24,208.0,212.4,206.1,210.1,80644.0,216.78714285714287,215.37761053097915,21.130592494080176,-1381083.0
2025-03-25,214.3,214.3,206.1,207.9,72619.0,215.48,214.38059579351528,21.654275083545258,-1453702.0
2025-03-26,206.0,209.9,206.0,209.51,97172.0,214.645,213.73118302104658,29.768085828426678,-1356530.0
2025-03-27,213.7,213.7,209.5,211.59,126571.0,213.90142857142857,213.4456919515737,32.74776266296094,-1229959.0
2025-03-30,212.0,216.8,210.0,213.58,129567.0,213.58571428571426,213.46359969136387,42.15198861540741,-1100392.0
2025-04-01,216.8,216.8,210.2,210.87,65189.0,213.07642857142858,213.11778639918202,38.45157108719398,-1165581.0
2025-04-02,215.0,215.0,210.1,212.39,43740.0,212.81857142857143,213.02074821262443,44.06054621201552,-1121841.0
2025-04-03,212.0,233.0,210.1,215.61,176888.0,212.50500000000002,213.3659817842745,42.58696384342395,-944953.0
2025-04-07,217.0,217.0,213.0,213.17,70903.0,212.18142857142857,213.33985087970458,42.38655460190213,-1015856.0
