Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,OBV
2024-12-05,654.0,658.9,650.0,650.5,34860.0,713.7642857142857,698.1993947754238,15.087463555311814,-191355.0
2024-12-08,662.0,662.0,638.0,641.0,25890.0,706.2428571428572,690.5728088053673,14.110429446506188,-217245.0
2024-12-09,649.8,649.8,630.1,644.0,26921.0,698.3928571428571,684.3631009646517,11.330049259967495,-190324.0
2024-12-10,655.0,669.0,650.0,662.0,34954.0,691.1785714285714,681.3813541693648,16.55629138919346,-155370.0
2024-12-11,661.0,692.0,653.0,692.0,44286.0,686.3214285714286,682.7971736134496,30.898876402064133,-111084.0
2024-12-12,705.8,705.8,672.0,674.0,40840.0,680.0357142857143,681.6242171316563,27.31958762689446,-151924.0
2024-12-16,680.0,680.0,665.0,675.0,25953.0,673.6785714285714,680.7409881807688,26.943005179392742,-125971.0
2024-12-17,668.0,680.0,666.0,672.0,28147.0,667.3928571428571,679.5755230899997,27.083333331358517,-154118.0
2024-12-18,679.9,679.9,665.0,668.5,28791.0,665.4285714285714,678.0987866779998,39.543726231531465,-182909.0
2024-12-19,666.0,673.0,662.0,667.0,27177.0,664.3571428571429,676.6189484542665,43.69747898645576,-210086.0
2024-12-22,680.0,680.0,665.0,665.0,62141.0,664.0714285714286,675.069755327031,48.14814814190672,-272227.0
2024-12-23,678.3,678.3,659.3,668.0,49499.0,664.3571428571429,674.127121283427,51.88679244597722,-222728.0
2024-12-24,665.0,675.0,660.0,666.0,11079.0,664.6428571428571,673.0435051123034,51.88679244597722,-233807.0
2024-12-26,666.0,680.0,662.0,673.9,23840.0,665.6357142857142,673.157704430663,56.210902584566995,-209967.0
2024-12-29,675.0,675.0,670.0,672.0,10541.0,667.1714285714286,673.003343839908,60.306807278578184,-220508.0
2024-12-31,685.4,685.4,667.0,670.0,21235.0,669.2428571428571,672.602897994587,64.97933883357737,-241743.0
2025-01-01,670.1,672.0,667.1,669.9,7549.0,671.092857142857,672.2425115953088,63.79126729613335,-249292.0
2025-01-02,666.0,674.0,666.0,671.0,12591.0,671.7357142857143,672.0768433826009,55.84415583400236,-236701.0
2025-01-05,671.0,673.0,668.6,671.0,17436.0,670.2357142857143,671.9332642649209,27.659574459846084,-236701.0
2025-01-06,668.1,679.7,668.0,679.0,20096.0,670.592857142857,672.8754956962648,56.75675673528122,-216605.0
2025-01-07,692.5,692.5,675.0,682.0,16617.0,671.092857142857,674.0920962700961,58.97435895318869,-199988.0
2025-01-08,687.0,689.0,677.0,682.0,19627.0,671.8071428571428,675.1464834340834,63.8888888640432,-199988.0
2025-01-12,677.0,677.0,666.0,671.1,6808.0,671.9928571428571,674.606952309539,52.995391687973864,-206796.0
2025-01-13,675.0,675.0,667.2,670.3,7827.0,672.2285714285714,674.0326920016005,53.86416860060653,-214623.0
2025-01-15,665.0,678.0,665.0,669.4,12296.0,672.5428571428571,673.4149997347205,55.288461519854806,-226919.0
